id,x,y,ux,uy,fintx,finty,bcx,bcy,ux_orig,uy_orig
69,0.03125,1.0,0.00935758177547541,0.45,-2.937747430303145e-16,0.0727043646187714,0,4,0.0093546104101637,0.45
70,1.0,0.03125,0.225,0.01809754939586128,0.0684451593079151,4.163336342344337e-17,2,0,0.225,0.0182401210817729
71,1.0,0.0625,0.225,0.0366711562492128,0.068480540842605,-3.469446951953615e-17,2,0,0.225,0.0364074895089425
72,1.0,0.09375,0.225,0.05494645223370753,0.068549577075375,-1.3877787807814457e-17,2,0,0.225,0.0544322305003277
73,1.0,0.125,0.225,0.07285645385127282,0.0686911141834405,1.5439038936193583e-16,2,0,0.225,0.0722480037452063
74,1.0,0.15625,0.225,0.09042147367108555,0.0688848719480655,-1.1102230246251563e-16,2,0,0.225,0.0898693554746817
75,1.0,0.1875,0.225,0.10773306424744078,0.069044968827974,3.469446951953615e-18,2,0,0.225,0.1071801437794833
76,1.0,0.21875,0.225,0.12493781436569407,0.0691938422131008,-4.510281037539698e-17,2,0,0.225,0.1241547220080145
77,1.0,0.25,0.225,0.14192506240215153,0.0692813381483214,-2.0816681711721685e-17,2,0,0.225,0.140750667901402
78,1.0,0.28125,0.225,0.15837127091435832,0.0696168612733472,-8.326672684688674e-17,2,0,0.225,0.1570706043119221
79,1.0,0.3125,0.225,0.17418573875329457,0.0697668034886808,-1.0408340855860844e-17,2,0,0.225,0.1730015732825488
80,1.0,0.34375,0.225,0.18962057389580877,0.0699289589215201,2.4286128663675296e-17,2,0,0.225,0.188540715035715
81,1.0,0.375,0.225,0.20485854525395553,0.0702715158985247,1.1796119636642288e-16,2,0,0.225,0.2036763203327144
82,1.0,0.40625,0.225,0.21976119086684776,0.0704145665312758,-4.510281037539698e-17,2,0,0.225,0.2184733372445927
83,1.0,0.4375,0.225,0.23414986301031604,0.0705664460060417,-2.775557561562892e-17,2,0,0.225,0.2328626090172406
84,1.0,0.46875,0.225,0.2481169708626112,0.0707000871286898,6.245004513516506e-17,2,0,0.225,0.2468821215281422
85,1.0,0.5,0.225,0.26187904482685553,0.0708221494380986,-2.2334564753201394e-17,2,0,0.225,0.2605546702194858
86,1.0,0.53125,0.225,0.2754403656563227,0.0709948957455998,-1.700029006457271e-16,2,0,0.225,0.2739539853676535
87,1.0,0.5625,0.225,0.2885852686158614,0.0711244233747599,1.3877787807814457e-17,2,0,0.225,0.287037977419764
88,1.0,0.59375,0.225,0.3011892562253706,0.0712570655282464,1.1102230246251563e-16,2,0,0.225,0.2998262610368955
89,1.0,0.625,0.225,0.3134116535056819,0.0713128448456775,-2.5326962749261384e-16,2,0,0.225,0.3123374867145419
90,1.0,0.65625,0.225,0.3255366427838453,0.0715165732472254,3.3306690738754696e-16,2,0,0.225,0.3246109742674344
91,1.0,0.6875,0.225,0.33767370194618707,0.0716067129431422,1.1102230246251563e-16,2,0,0.225,0.3366661575987851
92,1.0,0.71875,0.225,0.34966756014546263,0.0716815384665244,-7.632783294297951e-17,2,0,0.225,0.3485255288041334
93,1.0,0.75,0.225,0.36131668705274933,0.0718600752893269,-5.204170427930421e-18,2,0,0.225,0.3602062710635926
94,1.0,0.78125,0.225,0.3726422418403672,0.0718688389669616,2.5326962749261384e-16,2,0,0.225,0.3717836303193764
